Year,Month,Day,Hour,Minute,Second,Depth (meter),Ur Current speed (cm/s)
2002,11,30,13,0,0,1830,-4.01142E-06
2002,11,30,14,0,0,1830,-3.51524E-05
2002,11,30,15,0,0,1830,-0.000148041
2002,11,30,16,0,0,1830,-0.000406235
2002,11,30,17,0,0,1830,-0.000832212
2002,11,30,18,0,0,1830,-0.001379128
2002,11,30,19,0,0,1830,-0.001942901
2002,11,30,20,0,0,1830,-0.002390723
2002,11,30,21,0,0,1830,-0.002585809
2002,11,30,22,0,0,1830,-0.002404956
2002,11,30,23,0,0,1830,-0.00175015
2002,12,1,0,0,0,1830,-0.000556975
2002,12,1,1,0,0,1830,0.00119418
2002,12,1,2,0,0,1830,0.003460568
2002,12,1,3,0,0,1830,0.006119747
2002,12,1,4,0,0,1830,0.008966063
2002,12,1,5,0,0,1830,0.011729963
2002,12,1,6,0,0,1830,0.014115981
2002,12,1,7,0,0,1830,0.015847349
2002,12,1,8,0,0,1830,0.016705289
2002,12,1,9,0,0,1830,0.016551506
2002,12,1,10,0,0,1830,0.015330091
2002,12,1,11,0,0,1830,0.013057354
2002,12,1,12,0,0,1830,0.009808888
2002,12,1,13,0,0,1830,0.005706809
2002,12,1,14,0,0,1830,0.000907505
2002,12,1,15,0,0,1830,-0.004411985
2002,12,1,16,0,0,1830,-0.010076232
2002,12,1,17,0,0,1830,-0.015947068
2002,12,1,18,0,0,1830,-0.021960979
2002,12,1,19,0,0,1830,-0.028147637
2002,12,1,20,0,0,1830,-0.034619529
2002,12,1,21,0,0,1830,-0.041533563
2002,12,1,22,0,0,1830,-0.049031472
2002,12,1,23,0,0,1830,-0.057180533
2002,12,2,0,0,0,1830,-0.065943442
2002,12,2,1,0,0,1830,-0.075184175
2002,12,2,2,0,0,1830,-0.084691914
2002,12,2,3,0,0,1830,-0.094206776
2002,12,2,4,0,0,1830,-0.103444803
2002,12,2,5,0,0,1830,-0.112127666
2002,12,2,6,0,0,1830,-0.120017627
2002,12,2,7,0,0,1830,-0.126944531
2002,12,2,8,0,0,1830,-0.132813183
2002,12,2,9,0,0,1830,-0.137595374
2002,12,2,10,0,0,1830,-0.141314602
2002,12,2,11,0,0,1830,-0.144027277
2002,12,2,12,0,0,1830,-0.145805008
2002,12,2,13,0,0,1830,-0.146723065
2002,12,2,14,0,0,1830,-0.146859061
2002,12,2,15,0,0,1830,-0.146301242
2002,12,2,16,0,0,1830,-0.145160097
2002,12,2,17,0,0,1830,-0.143588317
2002,12,2,18,0,0,1830,-0.141820174
2002,12,2,19,0,0,1830,-0.140205047
2002,12,2,20,0,0,1830,-0.139187788
2002,12,2,21,0,0,1830,-0.139236505
2002,12,2,22,0,0,1830,-0.140764399
2002,12,2,23,0,0,1830,-0.144076817
2002,12,3,0,0,0,1830,-0.149343997
2002,12,3,1,0,0,1830,-0.156592092
2002,12,3,2,0,0,1830,-0.165707513
2002,12,3,3,0,0,1830,-0.176460365
2002,12,3,4,0,0,1830,-0.18858086
2002,12,3,5,0,0,1830,-0.201922794
2002,12,3,6,0,0,1830,-0.216674646
2002,12,3,7,0,0,1830,-0.233511723
2002,12,3,8,0,0,1830,-0.25361652
2002,12,3,9,0,0,1830,-0.278571573
2002,12,3,10,0,0,1830,-0.310159696
2002,12,3,11,0,0,1830,-0.350109219
2002,12,3,12,0,0,1830,-0.3998428
2002,12,3,13,0,0,1830,-0.460294455
2002,12,3,14,0,0,1830,-0.531815057
2002,12,3,15,0,0,1830,-0.614156182
2002,12,3,16,0,0,1830,-0.706539242
2002,12,3,17,0,0,1830,-0.807810894
2002,12,3,18,0,0,1830,-0.916646223
2002,12,3,19,0,0,1830,-1.03173931
2002,12,3,20,0,0,1830,-1.151918389
2002,12,3,21,0,0,1830,-1.276135452
2002,12,3,22,0,0,1830,-1.403334121
2002,12,3,23,0,0,1830,-1.532273862
2002,12,4,0,0,0,1830,-1.661402569
2002,12,4,1,0,0,1830,-1.788813171
2002,12,4,2,0,0,1830,-1.912275903
2002,12,4,3,0,0,1830,-2.02934517
2002,12,4,4,0,0,1830,-2.137554296
2002,12,4,5,0,0,1830,-2.234684825
2002,12,4,6,0,0,1830,-2.319047634
2002,12,4,7,0,0,1830,-2.389693154
2002,12,4,8,0,0,1830,-2.446490635
2002,12,4,9,0,0,1830,-2.490060252
2002,12,4,10,0,0,1830,-2.521579411
2002,12,4,11,0,0,1830,-2.542510846
2002,12,4,12,0,0,1830,-2.554325715
2002,12,4,13,0,0,1830,-2.558291443
2002,12,4,14,0,0,1830,-2.555349122
2002,12,4,15,0,0,1830,-2.546066969
2002,12,4,16,0,0,1830,-2.530648866
2002,12,4,17,0,0,1830,-2.508983878
2002,12,4,18,0,0,1830,-2.480734172
2002,12,4,19,0,0,1830,-2.445455768
2002,12,4,20,0,0,1830,-2.402717601
2002,12,4,21,0,0,1830,-2.352175691
2002,12,4,22,0,0,1830,-2.293599019
2002,12,4,23,0,0,1830,-2.226876546
2002,12,5,0,0,0,1830,-2.15202501
2002,12,5,1,0,0,1830,-2.069198712
2002,12,5,2,0,0,1830,-1.978697968
2002,12,5,3,0,0,1830,-1.880981683
2002,12,5,4,0,0,1830,-1.77671062
2002,12,5,5,0,0,1830,-1.666845754
2002,12,5,6,0,0,1830,-1.552773611
2002,12,5,7,0,0,1830,-1.436382728
2002,12,5,8,0,0,1830,-1.320024413
2002,12,5,9,0,0,1830,-1.206342856
2002,12,5,10,0,0,1830,-1.09802391
2002,12,5,11,0,0,1830,-0.997545347
2002,12,5,12,0,0,1830,-0.90698695
2002,12,5,13,0,0,1830,-0.827913297
2002,12,5,14,0,0,1830,-0.761318502
2002,12,5,15,0,0,1830,-0.707619215
2002,12,5,16,0,0,1830,-0.666692244
2002,12,5,17,0,0,1830,-0.637975817
2002,12,5,18,0,0,1830,-0.620648335
2002,12,5,19,0,0,1830,-0.613835845
2002,12,5,20,0,0,1830,-0.616749916
2002,12,5,21,0,0,1830,-0.628696064
2002,12,5,22,0,0,1830,-0.648981972
2002,12,5,23,0,0,1830,-0.676804223
2002,12,6,0,0,0,1830,-0.711170698
2002,12,6,1,0,0,1830,-0.750872906
2002,12,6,2,0,0,1830,-0.794508561
2002,12,6,3,0,0,1830,-0.840558879
2002,12,6,4,0,0,1830,-0.887519807
2002,12,6,5,0,0,1830,-0.9340735
2002,12,6,6,0,0,1830,-0.979273927
2002,12,6,7,0,0,1830,-1.022707197
2002,12,6,8,0,0,1830,-1.064579145
2002,12,6,9,0,0,1830,-1.105690834
2002,12,6,10,0,0,1830,-1.147287955
2002,12,6,11,0,0,1830,-1.190806759
2002,12,6,12,0,0,1830,-1.237576331
2002,12,6,13,0,0,1830,-1.288552279
2002,12,6,14,0,0,1830,-1.344136548
2002,12,6,15,0,0,1830,-1.404107689
2002,12,6,16,0,0,1830,-1.467667832
2002,12,6,17,0,0,1830,-1.533595114
2002,12,6,18,0,0,1830,-1.600469981
2002,12,6,19,0,0,1830,-1.666930525
2002,12,6,20,0,0,1830,-1.731900844
2002,12,6,21,0,0,1830,-1.794733362
2002,12,6,22,0,0,1830,-1.855234689
2002,12,6,23,0,0,1830,-1.913586314
2002,12,7,0,0,0,1830,-1.9701837
2002,12,7,1,0,0,1830,-2.02542264
2002,12,7,2,0,0,1830,-2.079489528
2002,12,7,3,0,0,1830,-2.132216518
2002,12,7,4,0,0,1830,-2.183021714
2002,12,7,5,0,0,1830,-2.230927462
2002,12,7,6,0,0,1830,-2.274665978
2002,12,7,7,0,0,1830,-2.312884222
2002,12,7,8,0,0,1830,-2.344405017
2002,12,7,9,0,0,1830,-2.368453405
2002,12,7,10,0,0,1830,-2.384783679
2002,12,7,11,0,0,1830,-2.393699071
2002,12,7,12,0,0,1830,-2.39598159
2002,12,7,13,0,0,1830,-2.392750634
2002,12,7,14,0,0,1830,-2.38527086
2002,12,7,15,0,0,1830,-2.37474486
2002,12,7,16,0,0,1830,-2.362147369
2002,12,7,17,0,0,1830,-2.348147153
2002,12,7,18,0,0,1830,-2.333118878
2002,12,7,19,0,0,1830,-2.317219123
2002,12,7,20,0,0,1830,-2.300490188
2002,12,7,21,0,0,1830,-2.282947763
2002,12,7,22,0,0,1830,-2.264627868
2002,12,7,23,0,0,1830,-2.245596197
2002,12,8,0,0,0,1830,-2.22592064
2002,12,8,1,0,0,1830,-2.20560642
2002,12,8,2,0,0,1830,-2.184519367
2002,12,8,3,0,0,1830,-2.162335313
2002,12,8,4,0,0,1830,-2.13853278
2002,12,8,5,0,0,1830,-2.112429412
2002,12,8,6,0,0,1830,-2.083263209
2002,12,8,7,0,0,1830,-2.050316227
2002,12,8,8,0,0,1830,-2.013063505
2002,12,8,9,0,0,1830,-1.971311831
2002,12,8,10,0,0,1830,-1.925286317
2002,12,8,11,0,0,1830,-1.875643057
2002,12,8,12,0,0,1830,-1.823420166
2002,12,8,13,0,0,1830,-1.769956466
2002,12,8,14,0,0,1830,-1.716794711
2002,12,8,15,0,0,1830,-1.665560202
2002,12,8,16,0,0,1830,-1.617803544
2002,12,8,17,0,0,1830,-1.574830127
2002,12,8,18,0,0,1830,-1.537562515
2002,12,8,19,0,0,1830,-1.506463724
2002,12,8,20,0,0,1830,-1.481519549
2002,12,8,21,0,0,1830,-1.462265872
2002,12,8,22,0,0,1830,-1.447847168
2002,12,8,23,0,0,1830,-1.437091245
2002,12,9,0,0,0,1830,-1.428578899
2002,12,9,1,0,0,1830,-1.420692159
2002,12,9,2,0,0,1830,-1.411651632
2002,12,9,3,0,0,1830,-1.399575221
2002,12,9,4,0,0,1830,-1.38258314
2002,12,9,5,0,0,1830,-1.358951049
2002,12,9,6,0,0,1830,-1.327295081
2002,12,9,7,0,0,1830,-1.286762432
2002,12,9,8,0,0,1830,-1.237195245
2002,12,9,9,0,0,1830,-1.179235391
2002,12,9,10,0,0,1830,-1.114345308
2002,12,9,11,0,0,1830,-1.044731615
2002,12,9,12,0,0,1830,-0.973168257
2002,12,9,13,0,0,1830,-0.902730903
2002,12,9,14,0,0,1830,-0.836483882
2002,12,9,15,0,0,1830,-0.777179462
2002,12,9,16,0,0,1830,-0.727014369
2002,12,9,17,0,0,1830,-0.687470964
2002,12,9,18,0,0,1830,-0.659265196
2002,12,9,19,0,0,1830,-0.64240462
2002,12,9,20,0,0,1830,-0.636331234
2002,12,9,21,0,0,1830,-0.640110082
2002,12,9,22,0,0,1830,-0.652626873
2002,12,9,23,0,0,1830,-0.672765491
2002,12,10,0,0,0,1830,-0.699541353
2002,12,10,1,0,0,1830,-0.732170378
2002,12,10,2,0,0,1830,-0.770060214
2002,12,10,3,0,0,1830,-0.812726203
2002,12,10,4,0,0,1830,-0.859663433
2002,12,10,5,0,0,1830,-0.910226671
2002,12,10,6,0,0,1830,-0.963555897
2002,12,10,7,0,0,1830,-1.018553625
2002,12,10,8,0,0,1830,-1.073902784
2002,12,10,9,0,0,1830,-1.128112323
2002,12,10,10,0,0,1830,-1.179579933
2002,12,10,11,0,0,1830,-1.226663291
2002,12,10,12,0,0,1830,-1.26775301
2002,12,10,13,0,0,1830,-1.301342109
2002,12,10,14,0,0,1830,-1.326088073
2002,12,10,15,0,0,1830,-1.340864609
2002,12,10,16,0,0,1830,-1.344803096
2002,12,10,17,0,0,1830,-1.337329828
2002,12,10,18,0,0,1830,-1.318207357
2002,12,10,19,0,0,1830,-1.287580446
2002,12,10,20,0,0,1830,-1.246020074
2002,12,10,21,0,0,1830,-1.194559877
2002,12,10,22,0,0,1830,-1.134716782
2002,12,10,23,0,0,1830,-1.068478085
2002,12,11,0,0,0,1830,-0.998230479
2002,12,11,1,0,0,1830,-0.926612127
2002,12,11,2,0,0,1830,-0.856300908
2002,12,11,3,0,0,1830,-0.789787903
2002,12,11,4,0,0,1830,-0.729173128
2002,12,11,5,0,0,1830,-0.675988479
2002,12,11,6,0,0,1830,-0.631067396
2002,12,11,7,0,0,1830,-0.594507456
2002,12,11,8,0,0,1830,-0.565751715
2002,12,11,9,0,0,1830,-0.543772799
2002,12,11,10,0,0,1830,-0.527319835
2002,12,11,11,0,0,1830,-0.515178778
2002,12,11,12,0,0,1830,-0.50639545
2002,12,11,13,0,0,1830,-0.500421401
2002,12,11,14,0,0,1830,-0.497163653
2002,12,11,15,0,0,1830,-0.496941138
2002,12,11,16,0,0,1830,-0.50036151
2002,12,11,17,0,0,1830,-0.508141467
2002,12,11,18,0,0,1830,-0.520915838
2002,12,11,19,0,0,1830,-0.539086607
2002,12,11,20,0,0,1830,-0.562733803
2002,12,11,21,0,0,1830,-0.591581312
2002,12,11,22,0,0,1830,-0.625004027
2002,12,11,23,0,0,1830,-0.662064734
2002,12,12,0,0,0,1830,-0.701570994
2002,12,12,1,0,0,1830,-0.742143897
2002,12,12,2,0,0,1830,-0.782292115
2002,12,12,3,0,0,1830,-0.820485985
2002,12,12,4,0,0,1830,-0.855223908
2002,12,12,5,0,0,1830,-0.885076508
2002,12,12,6,0,0,1830,-0.908703337
2002,12,12,7,0,0,1830,-0.924869934
2002,12,12,8,0,0,1830,-0.932507258
2002,12,12,9,0,0,1830,-0.930823658
2002,12,12,10,0,0,1830,-0.919437926
2002,12,12,11,0,0,1830,-0.898489505
2002,12,12,12,0,0,1830,-0.868694834
2002,12,12,13,0,0,1830,-0.831331929
2002,12,12,14,0,0,1830,-0.788140822
2002,12,12,15,0,0,1830,-0.741147696
2002,12,12,16,0,0,1830,-0.692458027
2002,12,12,17,0,0,1830,-0.644074938
2002,12,12,18,0,0,1830,-0.597769008
2002,12,12,19,0,0,1830,-0.554992167
2002,12,12,20,0,0,1830,-0.516810871
2002,12,12,21,0,0,1830,-0.483843959
2002,12,12,22,0,0,1830,-0.456229789
2002,12,12,23,0,0,1830,-0.433660181
2002,12,13,0,0,0,1830,-0.41547809
2002,12,13,1,0,0,1830,-0.400799422
2002,12,13,2,0,0,1830,-0.388625422
2002,12,13,3,0,0,1830,-0.37793402
2002,12,13,4,0,0,1830,-0.367750301
2002,12,13,5,0,0,1830,-0.357198515
2002,12,13,6,0,0,1830,-0.345537985
2002,12,13,7,0,0,1830,-0.332185176
2002,12,13,8,0,0,1830,-0.316724093
2002,12,13,9,0,0,1830,-0.298907018
2002,12,13,10,0,0,1830,-0.278647506
2002,12,13,11,0,0,1830,-0.256007343
2002,12,13,12,0,0,1830,-0.231179075
2002,12,13,13,0,0,1830,-0.204465504
2002,12,13,14,0,0,1830,-0.176257396
2002,12,13,15,0,0,1830,-0.147010499
2002,12,13,16,0,0,1830,-0.117222777
2002,12,13,17,0,0,1830,-0.087412622
2002,12,13,18,0,0,1830,-0.058098663
2002,12,13,19,0,0,1830,-0.029781635
2002,12,13,20,0,0,1830,-0.002928648
2002,12,13,21,0,0,1830,0.022039925
2002,12,13,22,0,0,1830,0.044760826
2002,12,13,23,0,0,1830,0.06493555
2002,12,14,0,0,0,1830,0.08233531
2002,12,14,1,0,0,1830,0.096803451
2002,12,14,2,0,0,1830,0.108255526
2002,12,14,3,0,0,1830,0.116672779
2002,12,14,4,0,0,1830,0.122076151
2002,12,14,5,0,0,1830,0.124480212
2002,12,14,6,0,0,1830,0.123860077
2002,12,14,7,0,0,1830,0.120162389
2002,12,14,8,0,0,1830,0.11334788
2002,12,14,9,0,0,1830,0.103433598
2002,12,14,10,0,0,1830,0.090519925
2002,12,14,11,0,0,1830,0.074802836
2002,12,14,12,0,0,1830,0.056574698
2002,12,14,13,0,0,1830,0.036216485
2002,12,14,14,0,0,1830,0.014183909
2002,12,14,15,0,0,1830,-0.009010418
2002,12,14,16,0,0,1830,-0.032817001
2002,12,14,17,0,0,1830,-0.056670184
2002,12,14,18,0,0,1830,-0.080008404
2002,12,14,19,0,0,1830,-0.102293045
2002,12,14,20,0,0,1830,-0.123025215
2002,12,14,21,0,0,1830,-0.141759957
2002,12,14,22,0,0,1830,-0.158117609
2002,12,14,23,0,0,1830,-0.171792159
2002,12,15,0,0,0,1830,-0.182556603
2002,12,15,1,0,0,1830,-0.190265398
2002,12,15,2,0,0,1830,-0.194854212
2002,12,15,3,0,0,1830,-0.196337229
2002,12,15,4,0,0,1830,-0.194802314
2002,12,15,5,0,0,1830,-0.190404392
2002,12,15,6,0,0,1830,-0.183357399
2002,12,15,7,0,0,1830,-0.173925164
2002,12,15,8,0,0,1830,-0.162411594
2002,12,15,9,0,0,1830,-0.149150501
2002,12,15,10,0,0,1830,-0.134495378
2002,12,15,11,0,0,1830,-0.118809428
2002,12,15,12,0,0,1830,-0.102456093
2002,12,15,13,0,0,1830,-0.085790286
2002,12,15,14,0,0,1830,-0.069150517
2002,12,15,15,0,0,1830,-0.052852034
2002,12,15,16,0,0,1830,-0.037181071
2002,12,15,17,0,0,1830,-0.022390269
2002,12,15,18,0,0,1830,-0.008695281
2002,12,15,19,0,0,1830,0.003727461
2002,12,15,20,0,0,1830,0.014741837
2002,12,15,21,0,0,1830,0.024252081
2002,12,15,22,0,0,1830,0.032201843
2002,12,15,23,0,0,1830,0.038572393
2002,12,16,0,0,0,1830,0.043380074
2002,12,16,1,0,0,1830,0.046673125
2002,12,16,2,0,0,1830,0.048528029
2002,12,16,3,0,0,1830,0.049045483
2002,12,16,4,0,0,1830,0.048346145
2002,12,16,5,0,0,1830,0.04656627
2002,12,16,6,0,0,1830,0.043853341
2002,12,16,7,0,0,1830,0.040361821
2002,12,16,8,0,0,1830,0.036249091
2002,12,16,9,0,0,1830,0.031671674
2002,12,16,10,0,0,1830,0.026781805
2002,12,16,11,0,0,1830,0.021724385
2002,12,16,12,0,0,1830,0.016634384
2002,12,16,13,0,0,1830,0.01163468
2002,12,16,14,0,0,1830,0
2002,12,16,15,0,0,1830,0.002327609
2002,12,16,16,0,0,1830,-0.001807281
2002,12,16,17,0,0,1830,-0.005508024
2002,12,16,18,0,0,1830,-0.008728388
2002,12,16,19,0,0,1830,-0.011430772
2002,12,16,20,0,0,1830,-0.013545541
2002,12,16,21,0,0,1830,-0.014872513
2002,12,16,22,0,0,1830,-0.014947348
2002,12,16,23,0,0,1830,-0.012936351
2002,12,17,0,0,0,1830,-0.007610509
2002,12,17,1,0,0,1830,0.002587297
2002,12,17,2,0,0,1830,0.019393703
2002,12,17,3,0,0,1830,0.044517832
2002,12,17,4,0,0,1830,0.079410528
2002,12,17,5,0,0,1830,0.1250605
2002,12,17,6,0,0,1830,0.181860238
2002,12,17,7,0,0,1830,0
2002,12,17,8,0,0,1830,0
2002,12,17,9,0,0,1830,0
2002,12,17,10,0,0,1830,0
2002,12,17,11,0,0,1830,0
2002,12,17,12,0,0,1830,0
2002,12,17,13,0,0,1830,0
2002,12,17,14,0,0,1830,0
2002,12,17,15,0,0,1830,0
2002,12,17,16,0,0,1830,0
2002,12,17,17,0,0,1830,0
2002,12,17,18,0,0,1830,0
2002,12,17,19,0,0,1830,0
2002,12,17,20,0,0,1830,0
2002,12,17,21,0,0,1830,0
2002,12,17,22,0,0,1830,0
2002,12,17,23,0,0,1830,0
2002,12,18,0,0,0,1830,0
2002,12,18,1,0,0,1830,0
2002,12,18,2,0,0,1830,0
2002,12,18,3,0,0,1830,0
2002,12,18,4,0,0,1830,0
2002,12,18,5,0,0,1830,0
2002,12,18,6,0,0,1830,0
2002,12,18,7,0,0,1830,0
2002,12,18,8,0,0,1830,0
2002,12,18,9,0,0,1830,0
2002,12,18,10,0,0,1830,0
2002,12,18,11,0,0,1830,0
2002,12,18,12,0,0,1830,0
2002,12,18,13,0,0,1830,0
2002,12,18,14,0,0,1830,0
2002,12,18,15,0,0,1830,0
2002,12,18,16,0,0,1830,0
2002,12,18,17,0,0,1830,0
2002,12,18,18,0,0,1830,0
2002,12,18,19,0,0,1830,0
2002,12,18,20,0,0,1830,0
2002,12,18,21,0,0,1830,0
2002,12,18,22,0,0,1830,0
2002,12,18,23,0,0,1830,0
2002,12,19,0,0,0,1830,0.610385345
2002,12,19,1,0,0,1830,0.586232882
2002,12,19,2,0,0,1830,0.560331711
2002,12,19,3,0,0,1830,0.532707159
2002,12,19,4,0,0,1830,0.503437301
2002,12,19,5,0,0,1830,0.472652345
2002,12,19,6,0,0,1830,0.440532007
2002,12,19,7,0,0,1830,0.407301039
2002,12,19,8,0,0,1830,0.373223189
2002,12,19,9,0,0,1830,0.338593896
2002,12,19,10,0,0,1830,0.303732086
