Year,Month,Day,Hour,Minute,Second,Depth (meter),Ur Current speed (cm/s)
2002,11,29,9,0,0,2130,-3.32553E-06
2002,11,29,10,0,0,2130,-3.60215E-05
2002,11,29,11,0,0,2130,-0.000197411
2002,11,29,12,0,0,2130,-0.000737831
2002,11,29,13,0,0,2130,-0.002130995
2002,11,29,14,0,0,2130,-0.00509406
2002,11,29,15,0,0,2130,-0.010528913
2002,11,29,16,0,0,2130,-0.019414167
2002,11,29,17,0,0,2130,-0.03271156
2002,11,29,18,0,0,2130,-0.051310377
2002,11,29,19,0,0,2130,-0.075973746
2002,11,29,20,0,0,2130,-0.107255894
2002,11,29,21,0,0,2130,-0.145409523
2002,11,29,22,0,0,2130,-0.190325784
2002,11,29,23,0,0,2130,-0.241536244
2002,11,30,0,0,0,2130,-0.298279167
2002,11,30,1,0,0,2130,-0.359599753
2002,11,30,2,0,0,2130,-0.424438893
2002,11,30,3,0,0,2130,-0.491686054
2002,11,30,4,0,0,2130,-0.560205877
2002,11,30,5,0,0,2130,-0.628856817
2002,11,30,6,0,0,2130,-0.696502091
2002,11,30,7,0,0,2130,-0.762007296
2002,11,30,8,0,0,2130,-0.824231081
2002,11,30,9,0,0,2130,-0.882015463
2002,11,30,10,0,0,2130,-0.934182366
2002,11,30,11,0,0,2130,-0.979554535
2002,11,30,12,0,0,2130,-1.017011231
2002,11,30,13,0,0,2130,-1.045571164
2002,11,30,14,0,0,2130,-1.064492059
2002,11,30,15,0,0,2130,-1.073368536
2002,11,30,16,0,0,2130,-1.072199726
2002,11,30,17,0,0,2130,-1.061408812
2002,11,30,18,0,0,2130,-1.04181338
2002,11,30,19,0,0,2130,-1.014544819
2002,11,30,20,0,0,2130,-0.980914941
2002,11,30,21,0,0,2130,-0.942256315
2002,11,30,22,0,0,2130,-0.899781825
2002,11,30,23,0,0,2130,-0.854486508
2002,12,1,0,0,0,2130,-0.8071017
2002,12,1,1,0,0,2130,-0.758113676
2002,12,1,2,0,0,2130,-0.707835614
2002,12,1,3,0,0,2130,-0.656511461
2002,12,1,4,0,0,2130,-0.604445293
2002,12,1,5,0,0,2130,-0.552132627
2002,12,1,6,0,0,2130,-0.500338325
2002,12,1,7,0,0,2130,-0.45008448
2002,12,1,8,0,0,2130,-0.402569256
2002,12,1,9,0,0,2130,-0.359064853
2002,12,1,10,0,0,2130,-0.32081513
2002,12,1,11,0,0,2130,-0.288927277
