Date,Hour,SST,Press
2002-01-01,0,13.08,1010.0
2002-01-01,1,13,1009.08
2002-01-01,2,13,1009.0
2002-01-01,3,13,1009.0
2002-01-01,4,13,1009.0
2002-01-01,5,13,1008.83
2002-01-01,6,13.03,1008.92
2002-01-01,7,13,1008.25
2002-01-01,8,13,1009.0
2002-01-01,9,13.08,1009.23
2002-01-01,10,13.1,1009.42
2002-01-01,11,13.01,1009.17
2002-01-01,12,12.91,1008.58
2002-01-01,13,12.81,1009.0
2002-01-01,14,12.73,1009.67
2002-01-01,15,12.8,1010.42
2002-01-01,16,12.87,1011.0
2002-01-01,17,12.9,1011.75
2002-01-01,18,13,1012.08
2002-01-01,19,13.09,1012.0
2002-01-01,20,13.12,1012.0
2002-01-01,21,13.2,1012.0
2002-01-01,22,13.2,1011.92
2002-01-01,23,13.17,1011.58
2002-01-02,0,13.07,1011.0
2002-01-02,1,12.93,1011.08
2002-01-02,2,12.82,1011.0
2002-01-02,3,12.72,1011.0
2002-01-02,4,12.66,1010.5
2002-01-02,5,12.6,1010.08
2002-01-02,6,12.5,1010.0
2002-01-02,7,12.46,1010.17
2002-01-02,8,12.4,1010.75
2002-01-02,9,12.4,1010.92
2002-01-02,10,12.4,1010.83
2002-01-02,11,12.4,1010.25
2002-01-02,12,12.43,1009.83
2002-01-02,13,12.42,1009.42
2002-01-02,14,12.39,1009.58
2002-01-02,15,12.33,1010.58
2002-01-02,16,12.35,1010.67
2002-01-02,17,12.33,1011.33
2002-01-02,18,12.3,1011.83
2002-01-02,19,12.31,1012.5
2002-01-02,20,12.3,1012.92
2002-01-02,21,12.3,1013.08
2002-01-02,22,12.33,1013.0
2002-01-02,23,12.4,1013.0
2002-01-03,0,12.4,1013.0
2002-01-03,1,12.38,1013.17
2002-01-03,2,12.33,1013.67
2002-01-03,3,12.4,1013.92
2002-01-03,4,12.33,1013.92
2002-01-03,5,12.26,1013.75
2002-01-03,6,12.2,1013.67
2002-01-03,7,12.2,1013.25
2002-01-03,8,12.2,1013.92
2002-01-03,9,12.26,1014.0
2002-01-03,10,12.3,1014.0
2002-01-03,11,12.34,1013.83
2002-01-03,12,12.4,1013.42
2002-01-03,13,12.39,1012.92
2002-01-03,14,12.3,1012.17
2002-01-03,15,12.24,1013.0
2002-01-03,16,12.15,1013.0
2002-01-03,17,11.99,1013.0
2002-01-03,18,11.9,1013.0
2002-01-03,19,11.83,1013.0
2002-01-03,20,11.8,1012.92
2002-01-03,21,11.8,1012.0
2002-01-03,22,11.8,1011.83
2002-01-03,23,11.8,1011.0
2002-01-04,0,11.8,1010.83
2002-01-04,1,11.8,1010.0
2002-01-04,2,11.89,1010.0
2002-01-04,3,11.95,1009.58
2002-01-04,4,12,1008.83
2002-01-04,5,12,1008.0
2002-01-04,6,11.95,1007.83
2002-01-04,7,11.9,1007.25
2002-01-04,8,11.8,1007.0
2002-01-04,9,11.76,1007.0
2002-01-04,10,11.7,1007.0
2002-01-04,11,11.7,1006.83
2002-01-04,12,11.7,1005.67
2002-01-04,13,11.7,1005.0
2002-01-04,14,11.7,1005.0
2002-01-04,15,11.7,1004.83
2002-01-04,16,11.7,1004.33
2002-01-04,17,11.7,1004.0
2002-01-04,18,11.7,1004.08
2002-01-04,19,11.7,1004.25
2002-01-04,20,11.7,1004.67
2002-01-04,21,11.7,1004.42
2002-01-04,22,11.7,1005.5
2002-01-04,23,11.7,1005.5
2002-01-05,0,11.7,1005.42
2002-01-05,1,11.7,1004.75
2002-01-05,2,11.7,1005.83
2002-01-05,3,11.72,1006.0
2002-01-05,4,11.8,1005.67
2002-01-05,5,11.8,1006.42
2002-01-05,6,11.8,1007.58
2002-01-05,7,11.8,1008.25
2002-01-05,8,11.8,1009.0
2002-01-05,9,11.8,1010.08
2002-01-05,10,11.81,1011.5
2002-01-05,11,11.9,1012.17
2002-01-05,12,11.9,1012.33
2002-01-05,13,11.93,1012.92
2002-01-05,14,11.8,1013.67
2002-01-05,15,11.83,1014.75
2002-01-05,16,11.91,1015.25
2002-01-05,17,11.98,1016.33
2002-01-05,18,12,1017.42
2002-01-05,19,12,1018.42
2002-01-05,20,12.06,1019.0
2002-01-05,21,12.1,1019.08
2002-01-05,22,12.1,1019.75
2002-01-05,23,12.08,1020.0
2002-01-06,0,12,1020.0
2002-01-06,1,12,1020.0
2002-01-06,2,11.94,1020.25
2002-01-06,3,11.9,1021.0
2002-01-06,4,11.88,1020.42
2002-01-06,5,11.8,1020.0
2002-01-06,6,11.8,1021.0
2002-01-06,7,11.8,1021.58
2002-01-06,8,11.73,1022.0
2002-01-06,9,11.68,1022.0
2002-01-06,10,11.56,1023.0
2002-01-06,11,11.48,1022.67
2002-01-06,12,11.44,1021.83
2002-01-06,13,11.5,1021.0
2002-01-06,14,11.52,1021.0
2002-01-06,15,11.58,1021.0
2002-01-06,16,11.6,1021.0
2002-01-06,17,11.67,1021.0
2002-01-06,18,11.7,1021.17
2002-01-06,19,11.74,1022.0
2002-01-06,20,11.8,1021.0
2002-01-06,21,11.8,1020.92
2002-01-06,22,11.85,1020.0
2002-01-06,23,11.83,1018.67
2002-01-07,0,11.84,1017.33
2002-01-07,1,11.86,1016.42
2002-01-07,2,11.9,1016.08
2002-01-07,3,11.8,1015.17
2002-01-07,4,11.8,1013.67
2002-01-07,5,11.8,1012.0
2002-01-07,6,11.8,1010.67
2002-01-07,7,11.8,1009.0
2002-01-07,8,11.8,1007.0
2002-01-07,9,11.84,1006.0
2002-01-07,10,11.9,1005.5
2002-01-07,11,11.9,1004.33
2002-01-07,12,11.89,1003.33
2002-01-07,13,11.88,1003.0
2002-01-07,14,11.9,1003.0
2002-01-07,15,11.9,1003.5
2002-01-07,16,11.9,1004.33
2002-01-07,17,11.9,1004.92
2002-01-07,18,11.9,1005.42
2002-01-07,19,11.9,1006.08
2002-01-07,20,11.85,1006.17
2002-01-07,21,11.73,1006.0
2002-01-07,22,11.66,1006.08
2002-01-07,23,11.53,1007.0
2002-01-08,0,11.5,1006.83
2002-01-08,1,11.46,1006.83
2002-01-08,2,11.4,1007.0
2002-01-08,3,11.4,1007.0
2002-01-08,4,11.4,1006.92
2002-01-08,5,11.34,1006.75
2002-01-08,6,11.3,1006.75
2002-01-08,7,11.3,1006.67
2002-01-08,8,11.23,1006.92
2002-01-08,9,11.05,1007.83
2002-01-08,10,10.93,1009.0
2002-01-08,11,10.9,1008.92
2002-01-08,12,10.98,1008.33
2002-01-08,13,10.99,1007.83
2002-01-08,14,11,1008.08
2002-01-08,15,11.08,1008.67
2002-01-08,16,11.1,1009.17
2002-01-08,17,11.12,1010.25
2002-01-08,18,11.18,1010.75
2002-01-08,19,11.23,1011.5
2002-01-08,20,11.31,1012.0
2002-01-08,21,11.4,1012.33
